iter	RMSE
244	2866.291419
245	2866.153569
246	2864.130308
247	2860.091439
248	2859.760336
249	2859.647684
250	2857.920605
251	2855.690637
252	2853.398695
253	2853.307851
254	2852.590988
255	2852.464904
256	2843.399431
257	2843.290468
258	2842.595841
259	2842.477538
260	2834.253661
261	2834.171992
262	2833.871856
263	2833.763614
264	2832.589006
265	2832.378769
266	2824.707879
267	2819.136874
268	2817.908399
269	2817.286027
270	2814.52153
271	2811.856094
272	2811.670987
273	2803.383497
274	2803.117914
275	2800.604726
276	2798.145285
277	2797.64974
278	2797.134269
279	2789.595866
280	2787.291328
281	2786.901799
282	2783.674889
283	2783.292145
284	2782.406012
285	2782.056245
286	2781.690179
287	2780.472322
288	2772.809039
289	2772.464083
290	2768.618211
291	2761.350479
292	2759.341612
293	2757.019518
294	2756.695419
295	2756.456001
296	2754.529369
297	2754.317931
298	2751.730112
299	2749.30787
300	2748.906697
301	2747.1835
302	2744.529704
303	2744.323018
304	2744.120436
305	2743.928794
306	2743.65961
307	2743.493311
308	2742.839817
309	2736.018756
310	2735.727853
311	2735.653948
312	2735.355587
313	2735.198927
314	2732.263561
315	2732.11782
316	2731.968027
317	2731.725595
318	2731.630328
319	2731.494334
320	2731.334067
321	2731.206712
322	2730.745399
323	2730.508316
324	2720.127785
325	2719.602249
326	2717.985902
327	2717.797615
328	2717.727477
329	2717.644764
330	2717.38555
331	2717.320979
332	2717.214902
333	2715.691165
334	2715.621162
335	2715.280484
336	2705.843815
337	2705.504375
338	2699.223266
339	2699.019203
340	2698.522591
341	2698.435672
342	2696.904278
343	2696.813687
344	2690.516968
345	2689.811255
346	2689.582981
347	2683.271975
348	2681.405142
349	2681.36998
350	2680.360348
351	2679.736899
352	2679.677365
353	2679.610255
354	2677.538911
355	2672.202449
356	2672.034011
357	2670.852625
358	2670.770384
359	2670.574344
360	2670.443706
361	2670.392912
362	2665.561279
363	2660.002328
364	2659.956453
365	2658.15037
366	2658.088709
367	2657.797009
368	2656.564615
369	2655.001136
370	2650.367104
371	2649.312784
372	2647.996501
373	2643.46477
374	2642.460001
375	2640.212493
376	2639.640195
377	2639.601849
378	2639.017348
379	2638.057532
380	2634.031417
381	2633.62
382	2633.381977
383	2633.328516
384	2633.297981
385	2633.249299
386	2633.209689
387	2627.8708
388	2623.716847
389	2623.592689
390	2623.56204
391	2619.828829
392	2619.790389
393	2619.566703
394	2619.438719
395	2615.292886
396	2615.260961
397	2614.609315
398	2614.58593
399	2614.56058
400	2614.350104
401	2611.808915
402	2610.982457
403	2606.895903
404	2602.720516
405	2602.573048
406	2602.544224
407	2601.740595
408	2597.54347
409	2597.406192
410	2596.913989
411	2596.890247
412	2596.858195
413	2596.78578
414	2592.147772
415	2591.82288
416	2588.24856
417	2588.232977
418	2587.854086
419	2584.62437
420	2584.538491
421	2584.096627
422	2580.668198
423	2580.654461
424	2579.453432
425	2575.54727
426	2575.340889
427	2575.025349
428	2571.776925
429	2571.743361
430	2571.63937
431	2568.029355
432	2564.487988
433	2564.457434
434	2561.357292
435	2561.19009
436	2561.14104
437	2561.117669
438	2561.105933
439	2561.082561
440	2560.639459
441	2557.604901
442	2557.101018
443	2557.080422
444	2553.68071
445	2550.438542
446	2550.391501
447	2550.079423
448	2550.039126
449	2547.189826
450	2544.353792
451	2541.321926
452	2541.083144
453	2540.652631
454	2537.97024
455	2535.222593
456	2534.412922
457	2531.676939
458	2531.606515
459	2531.583784
460	2531.562677
461	2530.135791
462	2530.004908
463	2529.984499
464	2529.261519
465	2528.61565
466	2528.587406
467	2528.543921
468	2528.523195
469	2525.918341
470	2525.897593
471	2525.850706
472	2523.189539
473	2523.135678
474	2523.113889
475	2523.033655
476	2522.749455
477	2522.732042
478	2521.782773
479	2519.0345
480	2516.124361
481	2516.102817
482	2516.031651
483	2516.012047
484	2515.959768
485	2515.940776
486	2515.92158
487	2515.251551
488	2515.240418
489	2512.779244
490	2512.740291
491	2512.720866
492	2512.706348
493	2510.330803
494	2510.32763
495	2507.975338
496	2507.904044
497	2507.895234
498	2506.199752
499	2506.157315
500	2505.881145
501	2502.916812
502	2502.877912
503	2502.857281
504	2500.510392
505	2500.483885
506	2500.470324
507	2500.444741
508	2500.408473
509	2498.54793
510	2496.426276
511	2494.332171
512	2493.740818
513	2493.243399
514	2491.243142
515	2491.219114
516	2488.268494
517	2488.187963
518	2488.160086
519	2487.969791
520	2486.780818
521	2486.758297
522	2486.701374
523	2486.67658
524	2486.639388
525	2484.769568
526	2484.746409
527	2484.711256
528	2484.583564
529	2484.007471
530	2483.556927
531	2483.543169
532	2483.527239
533	2483.151616
534	2483.139718
535	2481.174285
536	2481.142084
537	2481.0724
538	2481.045996
539	2481.027254
540	2480.990185
541	2479.137555
542	2479.12657
543	2479.102737
544	2479.080042
545	2479.057141
546	2478.820444
547	2478.799094
548	2478.777848
549	2475.728455
550	2475.711852
551	2475.225756
552	2475.220255
553	2473.447641
554	2473.438501
555	2473.421883
556	2471.514831
557	2471.4903
558	2471.372007
559	2469.615668
560	2469.599856
561	2467.955303
562	2466.26726
563	2464.680522
564	2464.674581
565	2463.347761
566	2463.344215
567	2463.338792
568	2463.210513
569	2462.591135
570	2461.906488
571	2461.883948
572	2461.712285
573	2461.644139
574	2460.107781
575	2460.094624
576	2458.995498
577	2458.91944
578	2458.910455
579	2458.75478
580	2458.747884
581	2458.741615
582	2458.579659
583	2458.567643
584	2458.561269
585	2458.556462
586	2458.53828
587	2458.50129
588	2458.257806
589	2456.529111
590	2453.79779
591	2453.795173
592	2453.566509
593	2453.540961
594	2453.53426
595	2451.789032
596	2451.452455
597	2450.937125
598	2450.9344
599	2450.510799
600	2450.458066
601	2449.030607
602	2448.375219
603	2448.235243
604	2448.12863
605	2445.204179
606	2444.990683
607	2444.745644
608	2444.523805
609	2444.376147
610	2444.285761
611	2444.109709
612	2442.648881
613	2441.182969
614	2441.067734
615	2441.053842
616	2440.925865
617	2440.801882
618	2438.697199
619	2438.325521
620	2437.659351
621	2437.496838
622	2437.372469
623	2436.02171
624	2434.742901
625	2434.565526
626	2432.945231
627	2432.847767
628	2431.645893
629	2431.50992
630	2431.420852
631	2431.354814
632	2431.345622
633	2431.232984
634	2431.221889
635	2430.053992
636	2429.990666
637	2429.739039
638	2429.496057
639	2428.237404
640	2428.139435
641	2426.909294
642	2426.86293
643	2426.811377
644	2426.533482
645	2426.484569
646	2426.140669
647	2424.867774
648	2424.82921
649	2423.590181
650	2422.438648
651	2422.395697
652	2421.063534
653	2420.543115
654	2419.326526
655	2419.32058
656	2419.240514
657	2419.232019
658	2419.221293
659	2418.934561
660	2418.924897
661	2418.916931
662	2418.752734
663	2418.181355
664	2418.018596
665	2417.916493
666	2417.759028
667	2417.756053
668	2417.74734
669	2417.72407
670	2417.703563
671	2416.64692
672	2415.613105
673	2415.608213
674	2413.817365
675	2412.161939
676	2410.876975
677	2409.356653
678	2409.061709
679	2408.82016
680	2407.808058
681	2407.75151
682	2407.586444
683	2407.568411
684	2407.544189
685	2407.53832
686	2407.425636
687	2405.959298
688	2405.86875
689	2404.951013
690	2404.685441
691	2404.68042
692	2404.671446
693	2404.612687
694	2404.411827
695	2404.40969
696	2404.402852
697	2404.360221
698	2403.937496
699	2403.930656
700	2403.747267
701	2403.637611
702	2403.629702
703	2401.726063
704	2401.414241
705	2400.832958
706	2400.779455
707	2400.768006
708	2400.759552
709	2399.689667
710	2399.50317
711	2399.209156
712	2398.680996
713	2398.509308
714	2398.416765
715	2398.397163
716	2397.968459
717	2397.922178
718	2397.918535
719	2397.652185
720	2397.634399
721	2397.521677
722	2396.594634
723	2396.589917
724	2396.55047
725	2396.511021
726	2396.506198
727	2396.484008
728	2396.379272
729	2396.377236
730	2396.205276
731	2395.286624
732	2394.551514
733	2394.523834
734	2394.472766
735	2394.471264
736	2394.461393
737	2394.419121
738	2394.411825
739	2394.316119
740	2394.310325
741	2394.303244
742	2393.038534
743	2390.636922
744	2390.363742
745	2390.286898
746	2390.273033
747	2390.045386
748	2390.024319
749	2389.913496
750	2389.075441
751	2388.333363
752	2388.289692
753	2387.501532
754	2387.464517
755	2386.71548
756	2386.68448
757	2386.635827
758	2386.433885
759	2385.633266
760	2385.613021
761	2385.603976
762	2383.722368
763	2382.520188
764	2382.460667
765	2382.455815
766	2382.115804
767	2382.015075
768	2381.956728
769	2381.946805
770	2381.672736
771	2380.864043
772	2380.805559
773	2380.509236
774	2379.899854
775	2379.873947
776	2379.817382
777	2379.803889
778	2379.803565
779	2379.787049
780	2378.704599
781	2378.5737
782	2378.342665
783	2378.305183
784	2378.299998
785	2378.22136
786	2378.165188
787	2377.522141
788	2376.800344
